cycle,basename,failure_type,gemini_name,gemini_const,gemini_party,manifest_name,manifest_const,manifest_party,manifest_aff_id,ocr_char_count,ocr_sample
bihar-2025,SHAKEEL_AHMAD_KHAN__6376.pdf,empty_const,Shakeel Ahmad Khan,,Indian National Congress,SHAKEEL AHMAD KHAN,KADWA,Indian National Congress,6376,18681,19 BROM 1500011900 २५ WELFARE STAMP बिहार 48 पच्चीस BIHAR AR HTTONE VICHARD AreaTIHAR (Reet /A6-18/30/2 Date-652026 12025 प्ररूप 26 ( नियम 4क देखिए 4 कदवा 1.2 20/10/25 ( निर्वाचन क्षेत्र का नाम ) निर्वाचन क्षेत्र से बिहार विधान सभा 2018 सदन का नाम ) के निर्वाचन के लिए रिटर्निंग ऑफिसर के समक्ष अभ्यर्
bihar-2025,SHASHI_SHANKAR_KUMAR_ALIAS_RAJESH_YADAV__6142.pdf,both_empty,,,,SHASHI SHANKAR KUMAR ALIAS RAJESH YADAV,DINARA,Rashtriya Janata Dal,6142,5850,                                                                                                                                                                                                                                       F{fl{                                                                
bihar-2025,SIDDHARTH_SAURAV__716.pdf,empty_const,JAI PRAKASH,,Samajwadi Party,SIDDHARTH SAURAV,BIKRAM,Bharatiya Janata Party,716,17980,                                                                                                                                                                                                                                                                                                            
bihar-2025,SUBODH_KUMAR__5512.pdf,both_empty,,,,SUBODH KUMAR,RAMNAGAR,Rashtriya Janata Dal,5512,12855,                                                                                                                                                                                                                                                                                                            
bihar-2025,SUSHIL_KUMAR__2898.pdf,both_empty,,,,SUSHIL KUMAR,CHERIA - BARIARPUR,Rashtriya Janata Dal,2898,0,
bihar-2025,TANUSHREE_KUMARI__6037.pdf,both_empty,,,,TANUSHREE KUMARI,BARACHATTI,Rashtriya Janata Dal,6037,0,
bihar-2025,TARKISHORE_PRASAD__3877.pdf,both_empty,,,,TARKISHORE PRASAD,KATIHAR,Bharatiya Janata Party,3877,0,
gujarat-2022,AHIR_MULUBHAI_RANMALBHAI_KANDORIYA__1320.pdf,empty_const,MULUBHAI RANMALBHAI KANDORIYA,,,AHIR MULUBHAI RANMALBHAI KANDORIYA,Dwarka,Indian National Congress,1320,18828,                                                                                                                                                                                                                                                                                                            
gujarat-2022,ARUNSINH_AJITSINH_RANA__1091.pdf,empty_const,ARUNSINH AJITSINH RANA,,,ARUNSINH AJITSINH RANA,Vagra,Bharatiya Janata Party,1091,5122,                                L                                                                                                                                                                                                                                                                           
gujarat-2022,ARVINDBHAI_JINABHAI_LADANI__1051.pdf,empty_const,LADANI ANVINDBHAI JINABHAL,,,ARVINDBHAI JINABHAI LADANI,Manavadar,Indian National Congress,1051,19075,                                                                                                                                                                                                                                                                                                            
gujarat-2022,ASHVINBHAI_NATVARBHAI_PATEL__KAKA__2876.pdf,empty_const,PATEL ASHVINBHAI NATVARBHAI,,,ASHVINBHAI NATVARBHAI PATEL (KAKA),Vaghodia,Bharatiya Janata Party,2876,28492,"                                                                                                                                                                                                                                                ""'·1~01,crtnN:OOt)1e1AL~'1::t                               "
gujarat-2022,BABUSINHJI_MOHANSINHJI_THAKOR__2776.pdf,empty_const,BABUSINHJI MOHANSINHJI THAKOR,,Indian National Congress,BABUSINHJI MOHANSINHJI THAKOR,Mansa,Indian National Congress,2776,18402,"                                                                                                                                                                                                                     \\\t/,i                                                           INDIA  NON   JUDICIAL"
gujarat-2022,BAHECHARSINH_HARISINH_RATHOD__4447.pdf,empty_const,RATHOD BAHECHARSINH HARISINH,,BTYPR,BAHECHARSINH HARISINH RATHOD,Prantij,Indian National Congress,4447,3941,        :       .                                                                                                                                                                                                                                                                                           
gujarat-2022,BALDEVJI_CHANDUJI_THAKOR__1888.pdf,empty_const,THAKOR BALDEVJI CHANDUJI,,INC,BALDEVJI CHANDUJI THAKOR,Kalol,Indian National Congress,1888,27912,                                                                                                                                                                                                                    \ r\\\t                                                                                 
gujarat-2022,BALKRUSHNA_KHANDERAO_SHUKLA__BALU_SHUKLA__2798.pdf,raw,,,,BALKRUSHNA KHANDERAO SHUKLA (BALU SHUKLA),Raopura,Bharatiya Janata Party,2798,23042,7300 सत्यमेव जयते Certificate No. Certificate Issued Date Account Reference Unique Doc. Reference Purchased by Description of Document INDIA NON JUDICIAL Government of Gujarat Certificate of Stamp Duty IN-GJ58897690627315U 14-Nov-2022 11:33 AM CSCACC (GV)/ gjcsceg07/ GJ-BARIT0112/ GJ-BA SUBIN-GJGJCS
gujarat-2022,BHARATBHAI_KIKUBHAI_PATEL__922.pdf,empty_const,PATEL BHARATBHAI KIKUBHAI,,,BHARATBHAI KIKUBHAI PATEL,Valsad,Bharatiya Janata Party,922,6073,                                                                                                                                                                                                                                                                                                            
gujarat-2022,BHIKHIBEN_GIRVATSINH_PARMAR__2900.pdf,empty_const,BHIKHIBEN PARMAR,,,BHIKHIBEN GIRVATSINH PARMAR,Bayad,Bharatiya Janata Party,2900,3307,                                                                                                                                                                                                                                                                                                            
gujarat-2022,CHANDANJI_TALAJI_THAKOR__3973.pdf,empty_const,CHANDANJI TALAJI THAKOR,,,CHANDANJI TALAJI THAKOR,Sidhpur,Indian National Congress,3973,8945,                                                                                                                                                                                                                                                                                                            
gujarat-2022,DARSHNA_M__VAGHELA__2815.pdf,empty_const,DARSHNAVAGHELA,,,DARSHNA M. VAGHELA,Asarwa,Bharatiya Janata Party,2815,23994,                                                                                                                                                                                                                                                                                                            
gujarat-2022,DESAI_YATISH_GOVINDLAL__1266.pdf,empty_const,DESAI YATISH GOVINDBHAI,,,DESAI YATISH GOVINDLAL,Gondal,Indian National Congress,1266,18047,                                                                                                                                                                                                                                                                                                            
gujarat-2022,DEVABHAI_PUNJABHAI_MALAM__924.pdf,empty_const,Malam Devabhai Punjabhai,,,DEVABHAI PUNJABHAI MALAM,Keshod,Bharatiya Janata Party,924,3194,                                                                                                                                                                                                                                         RA                                                                 
gujarat-2022,DHARMENDRASINH_RANUBHA_VAGHELA__BAPU__1642.pdf,raw,,,,DHARMENDRASINH RANUBHA VAGHELA (BAPU),Vaghodia,Independent,1642,62072,12-Nov-2022 11:36 AM 12-Nov-2022 11:36 AM 12-Nov-2022 11:36 AM 12-Nov-2022 11:36 AM 12-Nov-2022 11:36 AM 12-Nov-20221 12-Nov-2022 11:36 AM 12-Nov-2022 11:36 AM 12-Nov-2022 11:36 AM 12-Nov-2022 11:36 AM 12-Nov-2022 11:36 AM 12-Nov-2022 11.36 AM 12 INDIA NON JUDICIAL Government of Gujarat SUGIL Certif
gujarat-2022,DINESHSINH_RAJENDRASINH_KUSHWAHA__2967.pdf,empty_const,KUSHWAHA DINESHSINGH RAJENDRASINGH,,,DINESHSINH RAJENDRASINH KUSHWAHA,Bapunagar,Bharatiya Janata Party,2967,20167,                                                                                                                                                                                                                                                                                                            
gujarat-2022,DR__KANUBHAI_V__KALSARIA__833.pdf,both_empty,,,,DR. KANUBHAI V. KALSARIA,Mahuva,Indian National Congress,833,0,
gujarat-2022,DR__MAHENDRABHAI_PADALIA__1286.pdf,empty_const,MAHENDRA KARSANBHAI PADALIA,,,DR. MAHENDRABHAI PADALIA,Dhoraji,Bharatiya Janata Party,1286,9603,                                                                                                                                                                                   INDIA   NON JUDICIAL                                                                                                     
gujarat-2022,DR__PRAKASH_BUDHABHAI_PARMAR__DOCTOR__4514.pdf,empty_const,PARMAR PRAKASHKUMAR BUDHABHAI,,,DR. PRAKASH BUDHABHAI PARMAR (DOCTOR),Petlad,Indian National Congress,4514,46527,                                                                                                                                                                                                                                                                                                            
gujarat-2022,DURLABHJIBHAI_HARAKHJIBHAI_DETHARIYA__1274.pdf,empty_const,DURLABHJIBHAI HARAKHJIBHAI DETHARIYA,,,DURLABHJIBHAI HARAKHJIBHAI DETHARIYA,Tankara,Bharatiya Janata Party,1274,6063,                                                                                                                                                                                     INDIA  NON  JUDICIAL                                                                                                   
gujarat-2022,FATESINH_VAKHATSINH_CHAUHAN__1671.pdf,empty_const,CHAUHAN FATESINH VAKHATSINH,,,FATESINH VAKHATSINH CHAUHAN,Kalol,Bharatiya Janata Party,1671,3897,                                                                                                                                                                          INDIA  NON  JUDICIAL                                                                                                              
gujarat-2022,GAJENDRASINH_UDESINH_PARMAR__2827.pdf,empty_const,GAJENDRASINH UDESINH PARMAR,,BJP,GAJENDRASINH UDESINH PARMAR,Prantij,Bharatiya Janata Party,2827,4582,                                                                                                                                                                                                                                                                                                            
gujarat-2022,GEETABA_JAYRAJSINH_JADEJA__1261.pdf,empty_const,GITABA JAYRAJSINH JADEJA,,,GEETABA JAYRAJSINH JADEJA,Gondal,Bharatiya Janata Party,1261,16873,                                                                                                                                                                                                                                             ?0lt                                                           
gujarat-2022,GHANSHYAMBHAI_PRAGJIBHAI_VIRANI__2393.pdf,empty_const,VIRANI GHANSHYAMBHAI PRAGJIBHAI,,,GHANSHYAMBHAI PRAGJIBHAI VIRANI,Botad,Bharatiya Janata Party,2393,3875,                                                                                                                                          2394/2022                                                                                                                       INDIAN   ON  3TCIAA            3/ 
gujarat-2022,GOVINDBHAI_DALABHAI_PARMAR__2964.pdf,empty_const,PARMAR GOVINDBHAI DALABHAI,,,GOVINDBHAI DALABHAI PARMAR,Fatepura,Aam Aadmi Party,2964,2835,                                                                                                                                                                                                                                                       INDIA  NON  JUDICIAL                                 
gujarat-2022,GULABSINH_PIRABHAI_RAJPUT__3483.pdf,empty_const,RAJPUT GULABSINH PIRABHAI,,,GULABSINH PIRABHAI RAJPUT,Tharad,Indian National Congress,3483,20804,                                                                                                                                                                                                                                                                                                            
gujarat-2022,GUNJARIYA_CHHATRASINH_SHANKARBHAI__2122.pdf,empty_const,GUNJARIYA CHHATRASINH SHANKARBHAI,,,GUNJARIYA CHHATRASINH SHANKARBHAI,Dhrangadhra,Indian National Congress,2122,5541,                                                                                                                                                                                                                     Go                                                  INDIA   NON  JUDICIAL              
gujarat-2022,HARSH_RAMESH_SANGHVI__2283.pdf,empty_const,HARSH RAMESH SANGHVI,,,HARSH RAMESH SANGHVI,Majura,Bharatiya Janata Party,2283,23901,                                                                                                                                                                                                                                                                                                            
gujarat-2022,HIMMATSINH_PATEL__4448.pdf,empty_const,HIMMATSINH PRAHLADSINH PATEL,,,HIMMATSINH PATEL,Bapunagar,Indian National Congress,4448,23075,                                                                                                                                                                                                                                                                                                            
gujarat-2022,HITESHKUMAR_DEVJIBHAI_VASAVA__1600.pdf,empty_const,VASAVA HITESHKUMAR DEVJIBHAI,,,HITESHKUMAR DEVJIBHAI VASAVA,Dediapada,Bharatiya Janata Party,1600,6903,                                                                                                                                                                                                                                                      INDIA  NON  JUDICIAL                                  
gujarat-2022,INDRANIL_RAJGURU__2275.pdf,empty_const,INDRANIL SANJAYBHAI RAJGURU,,,INDRANIL RAJGURU,Rajkot East,Indian National Congress,2275,7583,                                                                                                                                                                                                                                                                                                     INDIA  
gujarat-2022,ISHWARSINH_THAKORBHAI_PATEL__980.pdf,empty_const,Ishwarsinh Thakorbhai Patel,,,ISHWARSINH THAKORBHAI PATEL,Ankleshwar,Bharatiya Janata Party,980,10936,                                                                                                                                                                                                                                                                                                            
gujarat-2022,JAMNABEN_SURESHBHAI_VEGDA__3745.pdf,empty_const,VEGDA JAMNABEN SURESHBHAI,,,JAMNABEN SURESHBHAI VEGDA,Danilimda,Independent,3745,8406,                                                                                                                                                                                                                                                                                    INDIA  NON  JUDICIAL    
gujarat-2022,JAYANTIBHAI_SOMABHAI_PATEL__J_S__PATEL__3861.pdf,raw,,,,JAYANTIBHAI SOMABHAI PATEL (J.S. PATEL),Mansa,Bharatiya Janata Party,3861,58466,"3M Nov 2003-03-20121 सत्यमेव जयते Certificate No. Certificate Issued Date Account Reference Unique Doc. Reference Purchased by Description of Document INDIA NON JUDICIAL Government of Gujarat BOOK NO 7\/ Certificate of Stamp Duty IN-GJ60854097150527U 17-Nov-2022 01:13 AM SR. NO., 711 1086 DATE 17 NO"
gujarat-2022,JAYDRATHSINHJI_PARMAR__3036.pdf,raw,,,,JAYDRATHSINHJI PARMAR,Halol,Bharatiya Janata Party,3036,29298,                                                                      t                                                                                     M                                                                                                                                INDIA   NON   J
gujarat-2022,KALABHAI_RAIJIBHAI_DABHI__3823.pdf,empty_const,DABHI KALABHAI RAIJI,,Indian National Congress,KALABHAI RAIJIBHAI DABHI,Kapadvanj,Indian National Congress,3823,22135,                                                                                                                                                                                                                                                                                                            
gujarat-2022,KALPESH_PATEL__1479.pdf,empty_const,PATEL KALPESHKUMAR AMRATBHAI,,,KALPESH PATEL,Dharampur,Independent,1479,4331,                                                                                                                                                                                                                                                                                                            
gujarat-2022,KALUBHAI_CHANABHAI_RATHOD__1926.pdf,empty_const,RATHOD KALUBHAI CHANABHAI,,,KALUBHAI CHANABHAI RATHOD,Una,Bharatiya Janata Party,1926,31272,                                                                                                                                                                                                 ...\\\-)\\i                                                                                                
gujarat-2022,KALUBHAI_RUPABHAI_DABHI__3013.pdf,empty_const,DABHI KALUBHAI ROOPABHAI,,,KALUBHAI RUPABHAI DABHI,Dhandhuka,Bharatiya Janata Party,3013,5555,                                                                                                                                                                                          INDIA  NON   JUDICIAL                                                                                             
gujarat-2022,KAMLESHBHAI_RAMESHBHAI_PATEL__MASTER__4528.pdf,empty_const,PATEL KAMLESHBHAI RAMESHBHAI,,,KAMLESHBHAI RAMESHBHAI PATEL (MASTER),Petlad,Bharatiya Janata Party,4528,15464,                                                                                                                                                                                                                                                                                                            
gujarat-2022,KANUBHAI_MOHANLAL_DESAI__818.pdf,empty_const,KANUBHAI MOHANBHAI DESAI,,,KANUBHAI MOHANLAL DESAI,Pardi,Bharatiya Janata Party,818,4179,                                                                                                                                                                                                                                                                                                            
gujarat-2022,KARSANBHAI_PUNJABHAI_SOLANKI__3318.pdf,empty_const,ARWAJ PUNJA SOLANKI,,,KARSANBHAI PUNJABHAI SOLANKI,Kadi,Bharatiya Janata Party,3318,26208,                                                                                                                                                                                                                                                                                                            
gujarat-2022,KESHAJI_SHIVAJI_CHAUHAN__2822.pdf,empty_const,KESHAJI SHIVAJI CHAUHAN,,,KESHAJI SHIVAJI CHAUHAN,Deodar,Bharatiya Janata Party,2822,2458,                                                                                                                                                                             INDIAN   ON JUDICIAL                                                                                                           
