seq,candidate_name,notes
74,ASHOK JINDAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
75,ASHOK KUMAR,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
76,ASHOK KUMAR GAUTAM,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
77,ASHOK SURANA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
78,ASIM AHMED KHAN,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
79,ASMITA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
80,ATISHI,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
81,ATUL KUMAR,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
82,AVADH OJHA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
83,AVINASH GUPTA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
84,AWDHESH KUMAR JHA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
85,AYASHA KHATOON,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
86,AYUSH GUPTA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
87,A DHANWATI CHANDELA A,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
88,BABITA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
89,BABU LAL,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
90,BACHAN RAM,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
91,BAJRANG SHUKLA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
92,BALYOGI BABA BALAKNATH,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
93,BANDANA KUMARI,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
94,BHAGWAN DASS,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
95,BHARAT SINGH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
96,BHAVISH DHANKAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
97,BHAWANA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
98,BHAWANA BOTHRA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
99,BHISHAM SHARMA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
100,BHUPENDER YADAV,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
101,BHUVAN TANWAR,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
102,BIJENDER,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
103,BIJENDER KUMAR,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
104,BINDU KUMAR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
105,BIR SAIN,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
106,BRAHM SINGH TANWAR,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
107,BRIJPAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
108,BRIJ LAL,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
109,BUDIYA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
110,B B TYAGI,name_from_filename (Part A regex missed); no_movable_totals
111,CA SOHARSH GULGULIA JAIN,name_from_filename (Part A regex missed); no_pending_cases_count
112,CHAMAN LAL,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
113,CHAMAN LAL VERMA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
114,CHANDAN KUMAR CHOUDHARY,name_from_filename (Part A regex missed); no_movable_totals
115,CHANDER PAL,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
116,CHARANJEET KAUR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
117,CHARAN SINGH MALIYAN,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
118,CHAUDHARY ZUBAIR AHMAD,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
119,CHUNNI LAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
120,COL DEVINDER KUMAR SEHRAWAT,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
121,DANVEER VIDYALANKAR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
122,DARSAN SINGH,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
123,DAYA RAM GURJAR,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
124,DEEPAK CHAWLA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
125,DEEPAK KAPILA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
126,DEEPAK KUMAR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
127,DEEPAK PANDEY,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
128,DEEPAK RAWAT,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
129,DEEPAK SINGHAL,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
130,DEEPAK TANWAR,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
131,DEEPA DEVI,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
132,DEEPTI INDORA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
133,DEVENDER KUMAR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
134,DEVENDER KUMAR YADAV,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
135,DEVENDER YADAV,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
136,DEVENDRA BHAIYA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
137,DEVIKA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
138,DHARAMPAL LAKRA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
139,DHARAMVEER,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
140,DHARAMVIR SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
141,DHARAM PAL,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
142,DHARAM PAL CHANDELA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
143,DHARAM RAKSHAK ALIAS RAKESH JATAV,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
144,DHARAM VEER,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
145,DHARMENDER,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
146,DHARMINDRA KUMAR KAIM,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
147,DHEERAJ KUMAR,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
148,DHURVA KUMAR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
149,DIBLU SINGH,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
150,DILIP BANERJEE,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
151,DILIP KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
152,DILIP KUMAR SHARMA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
153,DINESH KUMAR SAH,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
154,DINESH MOHANIYA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
155,DINESH TANWAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
156,DR ANIL GOYAL,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
157,DR  ABHILASHA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
158,DR  AJAY DUTT,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
159,DR  BHUPENDRA CHAURASIYA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
160,DR  MUNISH KUMAR RAIZADA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
161,DR  P K  MISHRA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
162,DUGGIRALA NAGESWARA RAO,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
163,DURGESH PATHAK,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
164,DUSHYANT GAUTAM,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
165,DUSHYANT THAKUR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
166,FARHAD SURI,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
167,FIRDOS ALAM,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
168,FIRDOUS AHMAD,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
169,GAJENDER DRALL,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
170,GAJENDER SINGH YADAV,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
171,GANDHI GAUTAM,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
172,GANGA RAM,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
173,GARVIT SINGHVI,name_from_filename (Part A regex missed); movable_self_only; no_pending_cases_count
174,GAURAV SHARMA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
175,GAURI SHANKAR,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
176,GAUTAM SINGH BIHARI,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
177,GEETA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
178,GOPAL KUMAR SINHA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
179,GOPAL PRASAD,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
180,GOPAL RAI,name_from_filename (Part A regex missed); no_movable_totals
181,GOURAV BOTHRA,name_from_filename (Part A regex missed); movable_self_only; no_pending_cases_count
182,GULAB SINGHAL,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
183,GULFAM,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
184,GULSHAN BHARTI,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
185,GURCHARAN SINGH  RAJU,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
186,GURMEET SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
187,G  THULASEEDHARAN,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
188,HAIDER ALI,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
189,HAMMAD KHAN,name_from_filename (Part A regex missed); movable_self_only; no_pending_cases_count
190,HANSA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
191,HANUMAN SAHAY ALIAS HANUMAN CHAUHAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
192,HARBANI KAUR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
193,HARISH,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
194,HARISH KHURANA,name_from_filename (Part A regex missed); no_movable_totals
195,HARI KISHAN MECHANIC,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
196,HARI RAM,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
197,HAROON YUSUF,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
198,HARSHAD CHADHA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
199,HARSH CHOUDHARY,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
200,HEERA LAL,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
201,HIRA LAL,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
202,HIRA LAL SAH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count
203,H M  HASHIM MALIK,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
204,IMRAN HUSSAIN,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
205,IMRAN SAIFI,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
206,IQBAL AHMED SIDDIQUI,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
207,ISHWAR CHAND,name_from_filename (Part A regex missed); movable_self_only; no_pan; no_pending_cases_count
208,ISHWAR SINGH,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
209,ISLAM ALI,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
210,ISLAUDDIN,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
211,ISMAIL,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
212,JAGAT SINGH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
213,JAGDEESH PRASAD,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
214,JAGDISH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
215,JAGDISH CHAND,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
216,JAGDISH KUMAR GARG,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
217,JAGDISH KUMAR VERMA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
218,JAGDISH OJHA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
219,JAI BHAGWAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
220,JAI BHAGWAN UPKAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan
221,JALKISHAN,no_pending_cases_count; no_movable_totals
222,JAI PAL,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
223,JAI PRAKASH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
224,JALANDHAR PANDIT,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
225,JAMALUDDIN,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
226,JARNAIL SINGH,name_from_filename (Part A regex missed)
227,JASBIR KARALA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
228,JAYA RAMAN,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
229,JITANDER SINGH,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
230,JITENDER,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
231,JITENDER KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
232,JITENDER KUMAR KOCHAR,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
233,JITENDER MAHAJAN,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
234,JITENDER SINGH SHUNTY,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
235,JITENDER SOLANKI,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
236,JOGINDER SOLANKI,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
237,JOURNALIST RAMESH KUMAR JAIN   NIRBHIK,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
238,JUGAL CHAWLA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
239,JUGBIR SINGH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
240,J  P  PANWAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
241,KAILASH GAHLOT,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
242,KAILASH GANGWAL,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
243,KALI CHARAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
244,KAMAL ARORA  DABBU,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
245,KAMAL BAGRI,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
246,KAMAL KISHORE,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
247,KAMAL SINGH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
248,KAMLA DEVI,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
249,KAMLESH KUMAR,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
250,KANCHAN SHARMA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
251,KANEEZ FATIMA,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
252,KANWAR KARAN SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
253,KAPIL MISHRA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
254,KARAM SINGH KARMA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
255,KARAN SINGH,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
256,KARAN TALWAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
257,KARNAIL SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
258,KARTAR SINGH TANWAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
259,KASHMIR CHAND,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
260,KHALID UR REHMAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
261,KHILKHILAKAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
262,KHURSHEED ABBAS ZAIDI,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
263,KHUSHI RAM CHUNAR,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
264,KRISHNA THAKUR,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
265,KRISHNA TIRATH,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
266,KULDEEP KUMAR  MONU,name_from_filename (Part A regex missed); no_pan; no_movable_totals
267,KULDEEP SINGH AHLAWAT,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
268,KULDEEP SOLANKI,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
269,KULWANT RANA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
270,KUSUM LATA,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
271,KU  RINKU,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
272,LALA RAM,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
273,LALITA TRIVEDI,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
274,LAL SINGH,name_from_filename (Part A regex missed); no_pending_cases_count; no_movable_totals
275,LAXMI,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
276,LAXMI THAKUR SINGHAL,name_from_filename (Part A regex missed); no_pan; no_pending_cases_count; no_movable_totals
